CustomerID,FirstName,LastName,Email,Phone,City,State,LastUpdated
2663,12345,NULL,user5157@gmail.com,6311714778,Mumbai,Maharashtra,2025-12-02
3605,"Mahesh,Vrk,Kalyan",Reddy,"mahesh,vrk,kalyan.reddy3605@gmail.com",9489053041,Tirupati,Andhra Pradesh,2025-11-20
1377,Suresh,Patel,suresh.patel1377@gmail.com,7300512221,Pune,Maharashtra,2025-07-21
1986,Manoj,Gupta,manoj.gupta1986@gmail.com,9858266915,Mysore,Karnataka,2025-12-14
646,Arjun,Naidu,arjun.naidu646@gmail.com,9764505789,Salem,Tamil Nadu,2026-01-28
3864,Manoj,Rao,,9793179797,Chennai,Tamil Nadu,
1660,Naveen,Verma,naveen.verma1660@gmail.com,7592235823,Nagpur,Maharashtra,2026-05-16
3606,Ramesh,Reddy,ramesh.reddy3606@gmail.com,6823232315,Mysore,Karnataka,2026-01-01
1153,"Mahesh,Vrk,Kalyan",Patel,"mahesh,vrk,kalyan.patel1153@gmail.com",8641291571,Madurai,Tamil Nadu,2025-11-11
2230,Kiran,Reddy,kiran.reddy2230@gmail.com,6931995775,Karimnagar,Telangana,2025-12-13
4122,Suresh,Gupta,user4122@gmail.com,7243913130,,,2026-05-10
826,Kiran,Rao,kiran.rao826@gmail.com,6387731925,Nagpur,Maharashtra,2025-12-07
1272,Arjun,Singh,arjun.singh1272@gmail.com,8265035494,Mumbai,Maharashtra,2026-01-19
2119,Manoj,NULL,user2352@gmail.com,8433359179,Visakhapatnam,Andhra Pradesh,2099-99-99
3216,Harsha,Verma,harsha.verma3216@gmail.com,8239679324,Madurai,Tamil Nadu,2025-11-19
1605,"Mahesh,Vrk,Kalyan",Rao,"mahesh,vrk,kalyan.rao1605@gmail.com",9310054504,Hubli,Karnataka,2025-11-21
1112,Ajay,Yadav,ajay.yadav1112@gmail.com,9436856358,Coimbatore,Tamil Nadu,2025-06-26
3265,Naveen,Sharma,naveen.sharma3265@gmail.com,6190714206,Warangal,Telangana,2026-06-11
2951,Suresh,Gupta,suresh.gupta2951@gmail.com,8094454760,Hyderabad,Telangana,2025-10-09
3074,Ravi,Naidu,ravi.naidu3074@gmail.com,8685004662,Salem,Tamil Nadu,2026-05-09
627,"Mahesh,Vrk,Kalyan",Naidu,"mahesh,vrk,kalyan.naidu627@gmail.com",7295487970,Coimbatore,Tamil Nadu,2025-12-06
1370,Suresh,Rao,suresh.rao1370@gmail.com,7067778624,Warangal,Telangana,2025-07-12
965,Suresh,Gupta,suresh.gupta965@gmail.com,6068349503,Vijayawada,Andhra Pradesh,2026-01-19
1413,Anil,Yadav,anil.yadav1413@gmail.com,8730828630,Bangalore,Karnataka,2026-03-24
1462,Manoj,Kumar,manoj.kumar1462@gmail.com,8569036525,Nashik,Maharashtra,2025-06-27
562,Ramesh,Patel,ramesh.patel562@gmail.com,7110995755,Salem,Tamil Nadu,2026-05-12
4075,Ajay,Kumar,user4075@gmail.com,,Mysore,Karnataka,
3263,Ajay,Mehta,ajay.mehta3263@gmail.com,7833760328,Mumbai,Maharashtra,2025-11-16
1491,Praveen,Gupta,praveen.gupta1491@gmail.com,6258376353,Mumbai,Maharashtra,2026-02-23
2241,Manoj,Kumar,manoj.kumar2241@gmail.com,7842382947,Mangalore,Karnataka,2026-02-01
2401,Varun,Gupta,varun.gupta2401@gmail.com,6822250826,Chennai,Tamil Nadu,2026-04-02
INVALID,Rahul,Singh,user5944@gmail.com,8213332954,Mumbai,Maharashtra,32-13-2025
502,Arjun,Reddy,arjun.reddy502@gmail.com,6453438336,Tirupati,Andhra Pradesh,2026-04-26
3073,Vikram,Kumar,vikram.kumar3073@gmail.com,7735544314,Chennai,Tamil Nadu,2026-03-26
2320,Manoj,Verma,manoj.verma2320@gmail.com,7975718819,Mysore,Karnataka,2026-01-16
3473,Kiran,Mehta,kiran.mehta3473@gmail.com,6160332010,Nashik,Maharashtra,2026-02-17
858,Kiran,Naidu,kiran.naidu858@gmail.com,8488666730,Tirupati,Andhra Pradesh,2026-04-15
3113,Manoj,Singh,manoj.singh3113@gmail.com,8096067888,Nagpur,Maharashtra,2025-10-06
434,Anil,Yadav,anil.yadav434@gmail.com,8773433187,Bangalore,Karnataka,2025-09-25
2228,Ajay,Singh,ajay.singh2228@gmail.com,6013420495,Coimbatore,Tamil Nadu,2026-01-13
3713,Anil,,user3713@gmail.com,6427756048,Vijayawada,Andhra Pradesh,2025-07-22
1495,Kiran,Sharma,kiran.sharma1495@gmail.com,6180137365,Mangalore,Karnataka,2026-02-17
2782,Ravi,Kumar,ravi.kumar2782@gmail.com,6378473095,Nagpur,Maharashtra,2026-01-31
437,Rahul,Sharma,rahul.sharma437@gmail.com,9518897354,Chennai,Tamil Nadu,2025-12-13
6,Suresh,Mehta,suresh.mehta6@gmail.com,8702471909,Salem,Tamil Nadu,2026-06-14
3096,Karthik,Naidu,karthik.naidu3096@gmail.com,7891872447,Tirupati,Andhra Pradesh,2025-10-03
5831,Manoj,Kumar,user3019@gmail.com,8428296372,Salem,Tamil Nadu,2099-99-99
164,Varun,Reddy,varun.reddy164@gmail.com,8545039595,Guntur,Andhra Pradesh,2025-08-08
3972,,Singh,user3972@gmail.com,6203696402,Mumbai,Maharashtra,2026-01-07
2984,Arjun,Gupta,arjun.gupta2984@gmail.com,9490546583,Nashik,Maharashtra,2026-06-11
4585,Ravi,Rao,gmail.com,9947272752,Visakhapatnam,Andhra Pradesh,2025-11-22
CUST###,Varun,NULL,user21@gmail.com,9199865655,Visakhapatnam,Andhra Pradesh,2025-09-29
3989,Kiran,Joshi,,9201792469,Mysore,Karnataka,2026-04-17
1399,Naveen,Patel,naveen.patel1399@gmail.com,8174018554,Nizamabad,Telangana,2025-11-30
2666,Manoj,Sharma,abc@,9311217472,Mysore,Karnataka,32-13-2025
2367,Manoj,Sharma,manoj.sharma2367@gmail.com,7626473431,Mysore,Karnataka,2026-04-21
3225,Rahul,###,user4336@gmail.com,6906391603,Nashik,Maharashtra,2026-05-07
2033,Suresh,Joshi,suresh.joshi2033@gmail.com,7007130645,Chennai,Tamil Nadu,2026-02-03
549,Manoj,Reddy,manoj.reddy549@gmail.com,9660955727,Warangal,Telangana,2026-04-28
3611,Varun,Sharma,user8740@gmail.com,6661561885,@@@@,###,2025-08-25
1524,Manoj,Singh,manoj.singh1524@gmail.com,8301497847,Visakhapatnam,Andhra Pradesh,2025-10-27
3821,Rahul,Verma,user3821@gmail.com,7982405913,Hyderabad,Telangana,
760,Praveen,Mehta,praveen.mehta760@gmail.com,6214924265,Chennai,Tamil Nadu,2026-02-08
3326,"Mahesh,Vrk,Kalyan",Naidu,"mahesh,vrk,kalyan.naidu3326@gmail.com",6891455391,Mangalore,Karnataka,2025-11-14
2206,Ravi,Joshi,ravi.joshi2206@gmail.com,6284766305,Visakhapatnam,Andhra Pradesh,2025-08-18
3735,Anil,Mehta,user3735@gmail.com,9803016050,Mysore,,2025-09-05
3184,Ramesh,Joshi,ramesh.joshi3184@gmail.com,6379923190,Nashik,Maharashtra,2025-11-08
2263,Suresh,Kumar,suresh.kumar2263@gmail.com,9719672628,Mysore,Karnataka,2026-04-14
2500,Ramesh,Sharma,ramesh.sharma2500@gmail.com,8955430525,Vijayawada,Andhra Pradesh,2025-09-02
3115,Anil,Joshi,anil.joshi3115@gmail.com,9145587606,Bangalore,Karnataka,2026-02-08
2344,Karthik,Mehta,karthik.mehta2344@gmail.com,9903143246,Vijayawada,Andhra Pradesh,2026-02-21
3481,Ajay,Joshi,ajay.joshi3481@gmail.com,7763320900,Hyderabad,Telangana,2025-11-27
907,Arjun,Joshi,arjun.joshi907@gmail.com,6807607442,Pune,Maharashtra,2026-04-07
2917,Rahul,Patel,rahul.patel2917@gmail.com,6293748411,Mumbai,Maharashtra,2025-09-27
3405,Anil,Singh,anil.singh3405@gmail.com,7558175058,Guntur,Andhra Pradesh,2025-10-29
1268,Arjun,Joshi,arjun.joshi1268@gmail.com,8305594796,Mumbai,Maharashtra,2026-03-20
1051,Varun,Kumar,varun.kumar1051@gmail.com,8649293680,Mangalore,Karnataka,2026-06-03
2528,Kiran,Naidu,kiran.naidu2528@gmail.com,6141171129,Vijayawada,Andhra Pradesh,2025-12-31
1749,Praveen,Yadav,praveen.yadav1749@gmail.com,8231929858,Nagpur,Maharashtra,2025-12-13
CUST###,Anil,Singh,user6514@gmail.com,7921138101,Tirupati,###,2025-09-11
3685,Harsha,Joshi,,6919542809,Hyderabad,Telangana,2026-01-19
2332,Varun,Singh,varun.singh2332@gmail.com,6753298502,Mumbai,Maharashtra,2025-10-16
3564,Varun,Singh,varun.singh3564@gmail.com,7761939537,Salem,Tamil Nadu,2025-07-23
3464,Anil,Sharma,anil.sharma3464@gmail.com,8092449377,Tirupati,Andhra Pradesh,2026-03-07
602,Harsha,Singh,harsha.singh602@gmail.com,9139975963,Karimnagar,Telangana,2025-11-07
3509,Suresh,Kumar,suresh.kumar3509@gmail.com,9067724510,Mysore,Karnataka,2025-07-11
